"Year","State","City","CountyFIPS","PlaceFIPS","Units_1","Units_2","Units_3_4","Units_5p","Units_Total"
2020,"06","CLAREMONT","037","13756",0,0,0,0,0
2021,"06","CLAREMONT","037","13756",8,0,0,0,8
2022,"06","CLAREMONT","037","13756",4,0,0,0,4
2023,"06","CLAREMONT","037","13756",4,0,0,0,4
2024,"06","CLAREMONT","037","13756",3,0,0,0,3
2020,"06","LOMA LINDA","071","42370",21,0,0,60,81
2021,"06","LOMA LINDA","071","42370",25,0,0,87,112
2022,"06","LOMA LINDA","071","42370",28,0,0,0,28
2023,"06","LOMA LINDA","071","42370",7,0,0,6,13
2024,"06","LOMA LINDA","071","42370",74,0,0,0,74
2020,"06","MONTCLAIR","071","48788",0,0,0,0,0
2021,"06","MONTCLAIR","071","48788",6,0,0,0,6
2022,"06","MONTCLAIR","071","48788",0,0,0,0,0
2023,"06","MONTCLAIR","071","48788",9,0,0,0,9
2024,"06","MONTCLAIR","071","48788",28,2,0,789,819
2020,"06","ONTARIO","071","53896",645,0,0,94,739
2021,"06","ONTARIO","071","53896",738,0,0,144,882
2022,"06","ONTARIO","071","53896",746,0,20,305,1071
2023,"06","ONTARIO","071","53896",601,0,32,2163,2796
2024,"06","ONTARIO","071","53896",306,4,29,300,639
2020,"06","POMONA","037","58072",135,0,0,345,480
2021,"06","POMONA","037","58072",118,2,0,0,120
2022,"06","POMONA","037","58072",138,2,4,323,467
2023,"06","POMONA","037","58072",405,0,0,90,495
2024,"06","POMONA","037","58072",249,0,0,35,284
2020,"06","REDLANDS","071","59962",79,0,0,0,79
2021,"06","REDLANDS","071","59962",64,0,0,328,392
2022,"06","REDLANDS","071","59962",130,0,0,0,130
2023,"06","REDLANDS","071","59962",83,0,0,106,189
2024,"06","REDLANDS","071","59962",168,0,0,80,248
2020,"06","UPLAND","071","81344",45,2,13,0,60
2021,"06","UPLAND","071","81344",50,4,58,0,112
2022,"06","UPLAND","071","81344",56,0,66,51,173
2023,"06","UPLAND","071","81344",68,0,27,0,95
2024,"06","UPLAND","071","81344",42,0,0,24,66
