"City","data_year","Violent","Property","Homicide","Rape","Robbery","Aggravated_Assault","Burglary","Larceny_Theft","Motor_Vehicle_Theft","Arson","Total","change"
"Claremont",2022,84,705,2,4,18,60,171,463,70,1,789,NA
"Claremont",2023,142,810,0,4,17,121,135,575,91,9,952,20.659062103929
"Claremont",2024,142,686,0,6,14,122,77,539,65,5,828,-13.0252100840336
"Montclair",2022,210,1644,3,3,61,143,293,916,390,45,1854,NA
"Montclair",2023,258,1677,5,4,79,170,346,897,405,29,1935,4.36893203883495
"Montclair",2024,214,1403,0,11,67,136,217,876,291,19,1617,-16.4341085271318
"Pomona",2022,311,1358,5,18,66,222,284,881,182,11,1669,NA
"Pomona",2023,876,4539,17,43,278,538,744,2671,1106,18,5415,224.445775913721
"Pomona",2024,919,4252,15,45,313,546,628,2731,865,28,5171,-4.50600184672207
"Redlands",2022,187,2275,2,28,81,76,285,1721,262,7,2462,NA
"Redlands",2023,215,2093,0,28,72,115,231,1573,280,9,2308,-6.25507717303006
"Redlands",2024,189,1588,2,29,54,104,196,1126,252,14,1777,-23.0069324090121
"Upland",2022,230,1642,3,9,74,144,325,1067,237,13,1872,NA
"Upland",2023,244,1639,3,9,81,151,316,1025,281,17,1883,0.587606837606838
"Upland",2024,249,1402,4,14,87,144,228,953,203,18,1651,-12.3207647371216
